,Location,Name,Category,Description,Latitude,Longitude,coords,xy_coords,x,y
0,"Borrego Salton Seaway, Borrego Springs, CA 92004, USA",Anza Borrego - NICE,Wild Camping,Free Camping on Anza Borrego Park. Nice and was very quiet. Has something away a toilet.  Price: FREE,33.280572,-116.146887,"(33.280572, -116.146887)","(-12929412.318063887, 3932604.6941878623)",-12929412.318063887,3932604.6941878623
2,"Unnamed Road, Austin, NV 89310, USA",Spencer Hotsprings,Wild Camping,"Hammer site. Lots of places for vehicle or tent camping with good views.

Three pools, the one in the center can be somewhat adjusted temperature wise.

Roads leading to it are 2wd dirt roads and should be easy unless wet.",39.330566999999995,-116.85462700000001,"(39.330566999999995, -116.85462700000001)","(-13008197.574477918, 4769133.681418734)",-13008197.574477918,4769133.681418734
3,"Burr Trail Rd, Boulder, UT 84716, USA",Burr Trail - NICE,Wild Camping,Very quiet sleeping places on the Burr Trail to Boulder on a BLM road.,37.870193,-111.33751299999999,"(37.870193, -111.33751299999999)","(-12394035.253349474, 4561104.631550915)",-12394035.253349474,4561104.631550915
4,"Coral Pink Sand Dunes Rd, Kanab, UT 84741, USA",Coral Pink Sand Dunes - OK,Wild Camping,Free camping without nothing in the BLM area. But you can also everywhere else camped nearby!  Price: Free,37.06816,-112.70284,"(37.06816, -112.70284)","(-12546022.759755783, 4448611.67541179)",-12546022.759755783,4448611.67541179
5,"Lincoln Highway, Ruth, NV 89319, USA",Ely - OK,Wild Camping,"Cookies at the 50 to Ely. Heard BLM. Fire pit, benches and trash cans. From here, start some offroad trails. Goods only at noon there. Traffic has hardly!",39.310427000000004,-114.990007,"(39.310427000000004, -114.990007)","(-12800629.025554962, 4766235.62656856)",-12800629.025554962,4766235.62656856
6,"National Forest Development Road 427, Ely, NV 89301, USA",Elyn - OK,Wild Camping,"Sleeping area in NF. Was super quiet here, albeit cold.",39.509519,-114.68078999999999,"(39.509519, -114.68078999999999)","(-12766207.146570338, 4794920.824895097)",-12766207.146570338,4794920.824895097
7,"Anniversary Mine Road, Overton, NV 89040, USA",Lake Mead RA - NICE,Wild Camping,"Nice place outside the Lake Mead Recreation Area between the Valley of Fire and Las Vegas on a 4x4 route slightly away from the main road. Very quiet, aircraft can be heard sometimes.",36.201046999999996,-114.68543700000001,"(36.201046999999996, -114.68543700000001)","(-12766724.448244058, 4328320.509026327)",-12766724.448244058,4328320.509026327
8,"159 East 300 South, Kanab, UT 84741, USA",McDonalds Kanab - NAJA,Informal Campsite,Shakedown at McDonalds in Kanab for the morning to drive directly to the raffle Wave.,37.04363,-112.52511200000001,"(37.04363, -112.52511200000001)","(-12526238.169296078, 4445189.992685115)",-12526238.169296078,4445189.992685115
9,"Mc Nerney Rd, Brawley, CA 92227, USA",Salton Sea - OK,Wild Camping,"Sleeping place behind a palm tree at the Salton Sea. You can sleep anywhere here beside the road. Is not especially beautiful, but good starting point for the Salton Sea bird watching.",33.074692,-115.656803,"(33.074692, -115.656803)","(-12874856.416737953, 3905222.2788743414)",-12874856.416737953,3905222.2788743414
10,"497-499 Gazos Creek Road, Pescadero, CA 94060, USA",San Mateo - OK,Wild Camping,Quiet place to sleep far away from the main road on a side street on nem big turnaround.,37.185469,-122.33373700000001,"(37.185469, -122.33373700000001)","(-13618129.309678253, 4464990.400895278)",-13618129.309678253,4464990.400895278
11,"Smoky Mountain Rd, Utah, USA",Smokey Mountain Rd - NICE,Wild Camping,"Very nice place on top of the cliff with great views! Attention, certainly often windy!",37.187857,-111.45148,"(37.187857, -111.45148)","(-12406722.001756713, 4465324.078243816)",-12406722.001756713,4465324.078243816
12,"Laverkin Overlook Rd, La Verkin, UT 84745, USA",BLM Free Camping West of Zion,Wild Camping,Sleeping place just off the main road on Ner old road. War according to circumstances but quiet at night.,37.206002000000005,-113.237558,"(37.206002000000005, -113.237558)","(-12605547.295233782, 4467859.83989624)",-12605547.295233782,4467859.83989624
13,"710-810 North Masters Road, Port Angeles, WA 98362, USA","Walmart, Port Angeles, Washington ",Informal Campsite,"Amazingly quiet place

Update 2019-06-01 : Especially quiet next to the garden center.",48.111156,-123.36028600000002,"(48.111156, -123.36028600000002)","(-13732404.221632596, 6125367.195071942)",-13732404.221632596,6125367.195071942
15,"Unnamed Road, Marble Canyon, AZ 86036, USA",White Pocket ,Informal Campsite,"Sleeping place right in front of the White Pocket on the parking. Super quiet, 0 Services. Ideal for morning and sunset photos!",36.95507,-111.893,"(36.95507, -111.893)","(-12455871.78333176, 4432845.973667879)",-12455871.78333176,4432845.973667879
16,"NFD 88, Hyder, AK 99923, USA",Hyder - OK,Wild Camping,"Roosting in Hyder himself next to the river on a large square. Access a little further forward direction glacier. Wild camping, caution due to bears!",55.97306,-130.06825,"(55.97306, -130.06825)","(-14479131.358372206, 7553054.532229046)",-14479131.358372206,7553054.532229046
25,"San Juan National Forest, Usfs 622, Bayfield, CO 81122, USA",National Forest Outside Durango,Wild Camping,"Free.  Great quiet camping in canyon next to river.  National forest.  At end of First Fork road (12 miles on a good dirt road), a few miles east of Durango on the way to Pagosa Springs.  Trails.  ",37.355468,-107.32356399999999,"(37.355468, -107.32356399999999)","(-11947204.494599305, 4488770.944756141)",-11947204.494599305,4488770.944756141
26,"United States Forest Grand Mesa, 8001-8227 Co Road 858, Gunnison, CO 81230, USA",National Forest outside Ouray,Wild Camping,"Beautiful mountain scenery along this 40 mile dirt road which crosses Owl Creek mountain pass, between Ridgway and Montrose.  Cold at night.  No facilities, free.  Plenty of boondocking opportunities.",38.203734000000004,-107.51165900000001,"(38.203734000000004, -107.51165900000001)","(-11968143.13422007, 4608246.707404037)",-11968143.13422007,4608246.707404037
27,"Gunnison National Forest, 11088-11860 Co Road 12, Colorado, USA",National Forest outside Crested Butte,Wild Camping,"Free. Beautiful mountain scenery, 15 minutes on dirt road outside town of Crested Butte.",38.857836,-107.155026,"(38.857836, -107.155026)","(-11928442.93025999, 4701328.209252986)",-11928442.93025999,4701328.209252986
